ID продукта,Бренд,Название,Описание,Цена,Тип продукта,Для кого,Тип кожи,Назначение,Объём,Способ применения,Состав,Описание бренда,Дополнительная информация,Подходит для акне,Подходит для комедонов,Подходит для розацеа
19000297949,Caudalie,CAUDALIE Vinoperfect brightening dark spot serum,"Сыворотка Vinoperfect - №1 во Франции среди средств для борьбы с пигментными пятнами*, эффективно и при этом очень бережно выравнивает тон кожи, корректирует пигментные пятна и предотвращает их появление, придавая коже сияние. <br>
Она действует на все типы пигментных пятен (солнце, акне, беременность, возраст,  синий свет) и подходит для всех типов кожи, включая чувствительную. <br>
На 63 % сокращается выраженность пигментных пятен после использования 1 флакона.*<br><br>

Ключевые ингредиенты:<br>
Виниферин:<br>
Запатентованный компанией Caudalie, мощный активный ингредиент Виниферин, получаемый из сока виноградной лозы. Он на 43% эффективнее Ниацинамида в концентрации 10%*** и в 62 раза эффективнее Витамина C****, при этом не повышает фоточувствительность.<br><br>

Сквалан оливы:<br>
Экстракт оливкового масла из олив, выращенных экологичным методом, увлажняет и смягчает кожу, не создавая жирной пленки.<br><br>

Клинически доказанная эффективность: <br>
На 63 % сокращается выраженность пигментных пятен после использования 1 флакона.**
Рекомендовано дерматологами;<br>
Подходит для всех фототипов кожи, включая чувствительную;<br>
Безопасна для беременных и кормящих женщин;<br>
Безопасная при солнечной активности. Рекомендуется наносить под солнцезащитный крем перед выходом на пляж или в городе в период солнечной активности; <br>
Не вызывает раздражения; <br>
Безопасная альтернатива витамину С для всех типов кожи;<br>
Содержит 98% натуральных ингредиентов;<br>
Vegan (не содержит ингредиентов животного происхождения);<br>

* Источник GERSDATA – SOG EARLY – категория «Уход за кожей лица» – сегмент средств против пигментации – по объёму продаж в аптечном канале во Франции за 12 месяцев, ноябрь 2024 года. <br>
** Клиническое исследование выраженности пигментных пятен длительностью 56 дней среди 65 добровольцев на основании дерматологической бальной оценки. <br>
*** Тест in vitro на ингибирующее действие Виниферина на тирозиназу. <br>
**** Тест ex vivo на определение количества меланина в эпидермисе.",7510,сыворотка для лица,унисекс,для всех типов кожи,"увлажнение, питание, выравнивание тона, против пигментных пятен, против несовершенств, против тусклости кожи",30 мл,"Наносите Сыворотку Vinoperfect утром и вечером на кожу лица, шеи и зоны декольте. Подождите некоторое время, прежде чем наносить крем. 
","Aqua/water/eau, butylene glycol, glycerin, cococaprylate/ caprate, squalane, palmitoyl grapevine shoot extract, polyglyceryl-3 distearate, bisabolol, glyceryl stearate, xanthan gum, caprylyl glycol, microcrystalline cellulose, polyacrylate crosspolymer-6, potassium sorbate, glyceryl stearate citrate, citric acid, sodium phytate, sodium hydroxide, parfum (fragrance). (243/032).
","<p>Под французским брендом Caudalie выпускается натуральная косметика на основе экстракта винограда. <p>

В своих продуктах компания, созданная на виноградниках Бордо, старается использовать все полезные свойства данного фрукта. Косметика бренда является уникальным миксом натуральности, последних научных разработок и бережного отношения к природе. <p>

Виноградная лоза, ставшая для создателей Caudalie источником вдохновения, содержит большое количество полезных для кожи элементов. На протяжении 20 лет компания вкладывает средства в научные разработки. В 2018 году открыта исследовательская лаборатория, специализирующаяся на поиске уникальных ингредиентов для косметических продуктов. <p>

Компания Caudalie предпочитает использовать при производстве своих средств натуральные компоненты, которые не наносят вред не только коже человека, но и окружающей среде. Все продукты производятся во Франции. Компания использует минимум консервантов и не тестирует продукцию на животных. <p>

Caudalie — член ассоциации 1 % for the Planet. 1 % от оборота направляется на реализацию проектов по защите окружающей среды. <p>

Девиз компании: «Создавать красоту эффективно, естественно и изысканно»","страна происхождения<br>Франция<br><br>изготовитель:<br>КОДАЛИ (CAUDALIE)<br>Адрес: 6, Плас де Нарвик <br>75008 Париж, Франция. <br><br>",True,False,True
19000375091,OKOLO,OKOLO Age Decoder Mask,"Зрелая кожа нуждается в особенно тщательном уходе, поэтому исключительная маска ей подходит: обеспечивает и роскошный процесс, и прекрасный результат. У маски цветочный аромат и гелевая текстура, которая превращается в отшелушивающее молочко при контакте с водой.<br><br>

Основные активы:<br>
• Комплекс Omega 369 - Комплекс растительных масел подсолнечника, макадамии и оливковых косточек, которые богаты незаменимыми жирными и омега-кислотами и взаимно усиливают действие друг друга, делая кожу более мягкой, гладкой и увлажненной 5.5%.<br>
• Масло сладкого миндаля - обладает антиоксидантными свойствами, смягчает, разглаживает и балансирует уровень влаги в коже 29.89%.<br>
 • Бамбуковая пудра - отшелушивает кожу, удаляя омертвевшие клетки и все возможные загрязнения 1%.<br>
• Активный ингредиент, созданный из стволовых клеток примулы вечерней Vita-Up Gravity - стимулирует сокращение коллагеновых волокон, оказывает двойное действие на эластичность кожи.",2350,маски для лица,унисекс,для всех типов кожи,"отшелушивание, увлажнение, лифтинг",50 мл,"Нанесите маску на очищенную кожу лица, шеи и зоны декольте. <br>
Избегайте области вокруг глаз. <br>
Оставьте на 5-10 минут, затем смойте теплой водой, слегка массируя кожу для деликатного пилинга.","C13-15 alkane, prunus amygdalus dulcis (sweet almond) oil, glycerin, aqua (water), squalane, olive oil decyl esters, bambusa arundinacea stem extract, caprylyl/capryl glucoside, quillaja saponaria wood extract, helianthus annuus (sunflower) seed oil, macadamia integrifolia seed oil, olea europaea (olive) fruit oil, rosa centifolia flower, squalene, parfum (fragrance), saponaria officinalis leaf/root extract, tocopherol, oenothera biennis (evening primrose) flower/leaf/stem extract.",,"страна происхождения<br>Швейцария<br><br>изготовитель:<br>CRB S.A., Route du Verney 1, 1070 Puidoux, Switzerland<br><br>",False,True,False
19000303117,andplus,ANDPLUS hydrogel neon patches 39.1,"andplus skincare<br>
продукты, из которых каждый сможет построить оптимальную для себя рутину<br><br>

гидрогелевые неоновые патчи для глаз <br>
бодрящие. фотогеничные. эффективные<br><br>

+ гидрогель нестандартной, увеличенной толщины заметно охлаждает кожу<br>
+ продуманная форма и состав не дают патчам «сбежать»<br>
+ снимают отечность, разглаживают и увлажняют<br>
+ содержат ниацинамид, который осветляет кожу под глазами и возвращает здоровое сияние<br>
+ яркий цвет поднимает настроение и отлично смотрится на селфи<br>
+ без отдушек<br><br>

cruelty-free.",250,патчи для глаз,унисекс,для чувствительной кожи,"от отечности, разглаживание, увлажнение, осветление, охлаждение",,"Расположите патчи на сухую и чистую кожу лица под глазами. <br>
Слегка прижмите для лучшей фиксации и оставьте на 20 минут.
","Water, Glycerin, Dipropylene Glycol, Niacinamide, Chondrus Crispus Powder, Ceratonia Siliqua (Carob) Gum, Hydroxyacetophenone, Betaine, Caprylyl Glycol, Polyurethane-11, Polysorbate 20, Sodium Polyacrylate, Chondrus Crispus, Butylene Glycol, Potassium Chloride, Sucrose, Dipotassium Glycyrrhizate, Euterpe Oleracea Fruit Extract, Disodium EDTA, Chromium Oxide Greens (CI 77288).","&+<br>
для апгрейда среды обитания и себя в ней","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""iMINE CO., LTD."", адрес: 40-37, Gajangsaneopseobuk-ro, Osan-si, Gyeonggi-do, 18103, Республика Корея<br><br>",False,False,False
19000358608,AESTURA,AESTURA Atobarrier365 cream mist,"Мист для лица дарит сухой коже, которой не хватает влаги, увлажнение на долгое время. <br>
Высокое содержание церамидов (10,000 ppm) создает на коже увлажняющий слой, чтобы предотвратить сухость и поддержать защитный барьер. <br>
Мист с мельчайшим распылением легко наносится на кожу. <br>
Подходит для чувствительной кожи. ",2500,спреи и мисты для лица,унисекс,"для сухой кожи, для чувствительной кожи","увлажнение, питание",120 мл,"Распылите мист на лицо, закрыв глаза. <br>
Используйте поверх макияжа в течение дня, когда почувствуете сухость кожи. <br>
Можно наносить перед макияжем для усиления сияния кожи. 
","Water / aqua / eau, glycerin, butylene glycol, caprylic/capric triglyceride, hydrogenated poly(c6-14 olefin), dimethicone, cetyl ethylhexanoate, hydroxypropyl bislauramide mea, 1,2-hexanediol, sodium surfactin, cholesterol, glyceryl caprylate, disodium edta, ethylhexylglycerin, behenic acid, tocopherol.","AESTURA — аутентичный бренд дермокосметики №1 по рекомендации дерматологов в Южной Корее, который стремится удовлетворить потребности чувствительной кожи. <br><br>

Название AESTURA происходит от слова «эстуарий» — слияние различных вод, образующих плодородную дельту. Бренд объединяет обширный фармацевтический опыт с передовыми достижениями дерматологической науки, чтобы подчеркнуть естественную красоту вашей кожи. <br><br>

AESTURA отличается подходом к созданию дермокосметики и работает вместе с независимой консультативной сетью из 42 дерматологов из ведущих университетских клиник Кореи. Формулы средств разработаны на основе передовых разработок в собственной лаборатории: 470 научных работ и 250 патентов на ингредиенты и технологии, оптимизированные для каждого запроса кожи. Компания использует специальное оборудование, которое может регулировать даже незначительные изменения температуры в процессе эксплуатации — от производства до контроля качества.
","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>“AMOREPACIFIC CORPORATION”, адрес: 100, Hangang-daero, Yongsan-gu, Seoul, Республика Корея.<br><br>",False,False,True
19000237283,ANUA,ANUA PEACH 77% NIACIN,"Смягчающий, увлажняющий крем-пудинг с экстрактом персика и ниацинамидом выравнивает тон и микрорельеф кожи, придает ей сияние, питает и обеспечивает упругость.<br><br>

Основной действующий компонент - 77% запатентованного комплекса Peachnia, когда с помощью 120 часовой ферментации из экстракта персика получают особый вид ниацинамида, благодаря чему, крем регулирует выработку кожного себума и матирует кожу.<br>
Подходит для нормальной, комбинированной и жирной кожи.",4731,крем для лица,унисекс,для всех типов кожи,"выравнивание тона, увлажнение, матирование",50 мл,"Нанесите необходимое количество крема на кожу лица, завершающим этапом ухода.","Peach Extract (77%), Glycerin, Methylpropanediol, Niacinamide, Isododecane, Lactobacillus Ferment Filtrate, 1,2-Hexanediol, Propanediol, Panthenol, Polyglyceryl Methyl Glucose Distearate, Polymethylsilsesquioxane, Hydrogenated Polydecene, Jojoba Ester, Houttuynia Cordata Root Extract, Magnolia Flower Extract, Soluble Collagen, Sodium Hyaluronate, Vinyl Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Purified Water, Dimethiconol, Acrylate/10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Butylene Glycol, Adenosine, Disodium EDTA, Cyanocobalamin, Yeast Ferment Filtrate, Galactomyces Ferment Filtrate, Bifida Ferment Lysate, Ceramide NP, Pectin, Maltodextrin, Hydrolyzed Plant Protein, Fragrance, Hydroxyacetophenone, Ethylhexylglycerin.",,"страна происхождения<br>Республика Корея<br><br>изготовитель:<br>Manufactured The Founders Inc 6,7F, 343, Gangnam-daero, Seocho-gu, Seoul, Republic of Korea Импортер: ООО «Грейс», г. Москва, ул. Пяловская, д. 7, помещение 2/1 Вопросы по качеству: support@grace-partner.com<br><br>",False,False,False
19000240988,belif,BELIF Super knights,"Ночная маска для лица belif стимулирует восстановление кожи в ночное время и улучшает состояние обезвоженной, тусклой, уставшей и утратившей тонус кожи. <br><br>

Пока вы спите, формула с маслом шиповника и натуральными экстрактами трав глубоко питает и увлажняет кожу, укрепляя естественный защитный барьер. Мягкое средство, также содержащее аденозин, тонизирует кожу и оказывает антивозрастное действие, повышая упругость кожи и помогая уменьшить видимость морщин. <br><br>

К утру кожа становится более увлажненной, гладкой и сияющей. ",4405,маски для лица,унисекс,для всех типов кожи,"восстановление, увлажнение, против тусклости кожи, тонизирование, против признаков старения, питание",75 мл,"Используйте на последнем этапе ухода за кожей, после крема. <br>
Равномерно нанесите тонкий слой маски на лицо, избегая области вокруг глаз. <br>
Оставьте маску на ночь и смойте остатки утром. 
","Water, glycerin, butylene glycol, hydrogenated polydecene, triethylhexanoin, caprylic/capric triglyceride, 1,2-hexanediol, butyrospermum parkii (shea) butter, polyglycerin-3, glyceryl stearate se, cetearyl alcohol, glyceryl stearate, panthenol, sorbitan stearate, dimethicone, sodium polyacrylate, polyglyceryl-10 stearate, polyglyceryl-10 oleate, carbomer, tromethamine, citrus aurantium dulcis (orange) peel oil, adenosine, citrus aurantifolia (lime) oil, trisodium edta, beta-glucan, titanium dioxide(ci 77891), mica, dextrin, theobroma cacao (cocoa) seed extract, pelargonium graveolens flower oil, rosa canina fruit oil, rosmarinus officinalis (rosemary) leaf oil, helianthus annuus (sunflower) seed oil, iron oxides(ci 77491), rubus idaeus (raspberry) leaf extract, nepeta cataria extract, calendula officinalis flower extract, avena sativa (oat) kernel extract, lupinus albus seed extract, achillea millefolium flower extract, glycyrrhiza glabra (licorice) root extract, euphrasia officinalis extract, stellaria media (chickweed) extract, baptisia tinctoria root extract, equisetum arvense leaf extract, vaccinium myrtillus fruit extract, rhodiola rosea root extract, aesculus hippocastanum (horse chestnut) leaf extract, tocopherol, limonene, citronellol, geraniol, citral, linalool.","Южнокорейский бренд belif предлагает косметику для ухода за кожей лица, созданную благодаря синтезу традиций и инноваций. В ассортименте марки – эффективные средства с натуральными ингредиентами, потрясающими текстурами и чистыми, понятными формулами, вызывающими доверие. Эксклюзивные формулы belif решают различные задачи, от интенсивного увлажнения кожи до борьбы с признаками старения. <br> <br>

Ключевая особенность бренда – использование натуральных растительных экстрактов, лекарственных растений и настоящих трав, ценные свойства которых в 19 веке активно изучал известный шотландский травник Дункан Напьер. Он также придумал уникальный способ обработки растений и открыл в Эдинбурге первый магазин Napiers, специализирующийся на травах. Сегодня бренд belif наследует философию, исторические рецепты и традиционные методы производства Napiers, чтобы создавать эффективные продукты на основе чистых природных ингредиентов. 
","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""LG H&H Co., Ltd."", адрес: 58 Saemunan-ro, Jongno-gu, Seoul, Республика Корея<br><br>",False,False,False
19000136370,Ph.Hubby,PH.HUBBY 1g Sun Cream Soft Matte,"Солнцезащитный крем для лица, который матирует, ухаживает за кожей и помогает предотвратить ее преждевременное старение. Крем с нежной текстурой оставляет бархатный финиш и впитывает излишки себума. Без липкости и белых следов. Идеально для жирной или комбинированной кожи лица. В комплекте мерная ложка, с помощью которой легко нанести идеальное количество средства для правильной защиты от солнца. Солнцезащитный фактор SPF 50+ PA++++. ",1678,крем для лица,женский,для жирной кожи,защита от солнца,,За 30 минут до выхода на солнце нанесите на лицо крем и распределите по коже легкими массирующими движениями.,"WATER, BUTYLOCTYL SALICYLATE, CETEARYL ALCOHOL, DIBUTYL ADIPATE, ETHYLHEXYL SALICYLATE, PROPANEDIOL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, BUTYLENE GLYCOL, TITANIUM DIOXIDE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, C12-15 ALKYL BENZOATE, NIACINAMIDE, ETHYLHEXYL TRIAZONE, ARACHIDYL ALCOHOL, BEHENYL ALCOHOL, 1,2-HEXANEDIOL, METHYL METHACRYLATE CROSSPOLYMER, SILICA, ALUMINUM HYDROXIDE, POLYMETHYLSILSESQUIOXANE, STEARIC ACID, ARACHIDYL GLUCOSIDE, POLYGLYCERYL-6 POLYRICINOLEATE, CETEARYL GLUCOSIDE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, PROPOLIS EXTRACT, CAPRYLYL GLYCOL, ROSA DAMASCENA FLOWER WATER, MUSA SAPIENTUM (BANANA) FLOWER EXTRACT, XANTHAN GUM, ADENOSINE, PYRUS COMMUNIS (PEAR) FRUIT EXTRACT, ETHYLHEXYLGLYCERIN, GLUCOSE, CUCUMIS MELO (MELON) FRUIT EXTRACT, HEDERA HELIX (IVY) LEAF/STEM EXTRACT, PRUNUS DOMESTICA FRUIT EXTRACT ",,"страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""Ph. Hubby Co., Ltd."", адрес: С-721, 128, Beobwon-ro, Songpa-gu, Seoul, Республика Корея<br><br>",False,False,False
14033200007,Clarins,CLARINS Lip Comfort Oil,"Масло-блеск Lip Comfort Oil от Clarins – инновационный продукт для красоты губ и ежедневного ухода. Формула на основе натуральных масел увлажняет, питает и спасает от обезвоженности. Средство разглаживает неровности и шелушения, создает равномерное покрытие с зеркальным сиянием и деликатным оттенком. Уникальная текстура Lip Comfort Oil не оставляет ощущения липкости и легко распределяется за счет удобного спонж-аппликатора. Оттенки масла-блеска, которые имеют дополнительное действие:

01 honey – питание;
04 candy и 05 tangerine – более яркие оттенки;
06 mint – увеличение объема.",2150,масло для губ,женский,для всех типов кожи,"для блеска, увлажнение, питание",7 мл,"Используйте масло в качестве самостоятельного средства или наносите поверх губной помады, для того чтобы подарить губам дополнительный комфорт и зеркальный блеск.","Лесной орех: питает, дарит ощущение комфорта.
Жожоба: питает, дарит ощущение комфорта.
Аннато: питает, дарит ощущение комфорта.","Clarins – бренд №1 в Европе в категории средств ухода люкс* Clarins - семейная компания, существующая с 1954 года, когда в Париже Жак Куртен-Кларанс открыл свой первый Институт Красоты. Сегодня бренд представлен более чем в 150 странах мира. В ассортименте марки - инновационные средства ухода для лица и тела, декоративная косметика, которая заботится о коже, а также продукты ароматической линии, позволяющие проводить спа-ритуалы дома. Clarins всегда отдает предпочтение натуральным ингредиентам и делает это с заботой о природе. Компания исповедует философию ответственной красоты в своей деятельности и уважительного отношения к биоразнообразию планеты. Мы призываем вместе беречь природу, заботиться о людях, проявлять внимание, ответственность и великодушие. Для того, чтобы делать жизнь прекраснее и создавать лучший мир для будущих поколений. * Источник: исследования NPD Group в европейских странах, 2020 г.",страна происхождения<br>Франция<br><br>,False,False,False
19000060271,La Roche-Posay,LA ROCHE-POSAY EFFACLAR Н Iso-Biome,"Успокаивающий крем Effaclar H Iso-Biome от La Roche Posay предназначен для проблемной кожи, ослабленной и чувствительной из-за использования пересушивающих средств для борьбы с акне. Способствует сокращению черных точек, пятен и следов постакне. Восстанавливает гидролипидный барьер, укрепляет естественную защиту кожи, устраняет признаки сухости.<br>
<br>
АКТИВНЫЕ ИНГРЕДИЕНТЫ:<br>
- Aqua Posae Filiformis помогает восстановить нормальный микробиом кожи.<br>
- Ниацинамид (ниацин) уменьшает раздражение, обладает успокаивающими и восстанавливающими свойствами.<br>
- Сквалан укрепляет защитный барьер, обеспечивает увлажняющий эффект.<br>
- Пантенол быстро успокаивает сухие, раздраженные участки.<br>
- Экстракт аннато помогает бороться с несовершенствами.<br>
- Термальная вода La Roche-Posay освежает и увлажняет кожу лица.<br>
<br>
ЭФФЕКТИВНОСТЬ:<br>
- Интенсивное увлажнение в течение 48 часов.*<br>
- Восстановление кожного барьера +78% спустя 1 час.*<br>
- Заметное сокращение следов акне, несовершенств (-49%) и черных точек (-16%) спустя 1 месяц использования.**<br>
<br>
* Инструментальный тест, 24 участника.<br>
** Клиническая оценка, 43 участника, 4 недели.<br>
<br>
Без минеральных масел. Не закупоривает поры. Подходит для области вокруг глаз.",2081,крем для лица,унисекс,для проблемной кожи,"увлажнение, питание, против несовершенств, восстановление",40 мл,Наносить утром и вечером на очищенную кожу.,"AQUA / WATER / EAU; CLYCERIN; SQUALANE; DIMETHICONE; PANTHENOL; ZEA MAYS STARCH / CORN STARCH; NIACINAMIDE; AMMONIUM POLYACRYLOYLD METHYL TAURATE; MYRISTYL MYRISTATE;
BIXA ORELLANA SEED EXTRACT; STEARIC ACID; POTASSIUM CETYL; PHOSPHATE; GLYCERYL STEARATE SE;
SODIUM HYDROXIDE; MYRISTIC ACID; 2-OLEAMIDO-1,3-OCTADECANEDIOL; PALMITIC ACID; HYDROXYACETOPHENONE; CAPRYLOYL GLYCINE; CAPRYLYL GLYCOL; VITREOSCILLA FERMENT; CITRIC ACID; MALTODEXTRIN; XANTHAN GUM; PARFUM / FRAGRANCE. (CODE F.I.L.: N282852/1)","<p>La Roche-Posay является одним из ведущих французских брендов лечебной косметики. Марка уже более 40 лет работает вместе с известными дерматологами мира, создавая продукты, отвечающие самым высоким требованиям и стандартам качества.
Бренду доверяют 25 тысяч врачей и ученых со всего мира, занимающихся исследованиями и лечением кожи. <p>

В основе продукции — термальная вода, обогащенная активным природным микроэлементом — селеном. Множественные клинические исследования доказали его положительное терапевтическое влияние. <p>

Продукция La Roche-Posay по уходу за кожей подходит не только для взрослых, но и для детей, а также младенцев. Множество текстур позволяет подобрать продукцию для любого типа кожи с учетом индивидуальных особенностей. <p>

La Roche-Posay – марка №1 по рекомендации дерматологов в России*. <br>
*Среди косметических средств для ухода за кожей на основании проведенного АО «Астон Консалтинг» опроса врачей-дерматологов в период с 19 июня по 17 июля 2018 г. в городах Москва, Санкт-Петербург, Воронеж, Нижний Новгород, Самара, Казань, Краснодар, Ростов-на-Дону, Екатеринбург, Челябинск, Новосибирск, Красноярск, Уфа. Размер выборки: 439 дерматологов.","страна происхождения<br>Франция<br><br>изготовитель:<br>Косметик Актив Продюксьон, ZI de Vichy Rhue, 03300 CREUZIER LE VIEUX, France<br><br>",True,False,True
19000169216,ABIB,ABIB Jericho rose crème Nutrition tube,"Крем для лица с насыщенной текстурой в тревел-формате возвращает сухой коже жизненную энергию и здоровый вид. Экстракт иерихонской розы, которая выживает и цветет в сухой пустыне практически без воды, глубоко питает и увлажняет. Масло ши делает кожу напитанной и мягкой. Экстракт гриба Чага убирает тусклость. Экстракт голубой агавы поддерживает гидролипидный баланс. ",1621,крем для лица,женский,для сухой кожи,"увлажнение, питание",30 мл,"Нанесите на чистую и сухую кожу лица количество крема размером с горошину, распределите кончиками пальцев и оставьте впитываться.","Water, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Diisostearyl Malate, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Diglycerin, Pentylene Glycol, 1,2-Hexanediol, Bis-Diglyceryl Polyacyladipate-2, Caprylic/Capric/Myristic/Stearic Triglyceride, Isotridecyl Isononanoate, Arachidyl Alcohol, Panthenol, Synthetic Beeswax, Vinyl Dimethicone, Jojoba Esters, Behenyl Alcohol, Glyceryl Stearate, Arachidyl Glucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, C12-16 Alcohols, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Palmitic Acid, Anastatica Hierochuntica Extract, Tromethamine, Copernicia Cerifera (Carnauba) Wax, Hydrogenated Lecithin, Lactobacillus Ferment, Dipotassium Glycyrrhizate, Xanthan Gum, Ethylhexylglycerin, Adenosine, Trisodium Ethylenediamine Disuccinate, Tocopherol, Inonotus Obliquus (Mushroom) Extract, Methylpropanediol, Agave Tequilana Leaf Extract.","«Встретьтесь с первой луной. Обновите себя, когда встретитесь с Abib». <br> <br>

Корейский бренд Abib, чье название расшифровывается как «первый месяц», стремится к совершенству в уходовой косметике, начиная с самого первого этапа производства. Цель бренда — помочь коже вернуться к первозданной и естественной красоте. <br> <br>

Лаборатория Abib создает уход, который улучшает функцию регенерации кожи, защищает от негативного воздействия, замедляет возрастные изменения и усиливает защитную способность от раздражителей. Бренд использует сырье лучшего качества с научной эффективностью для достижения этих целей. <br> <br>

Abib уделяет внимание упаковке, чтобы формулы оставались стабильными и защищенными от внешней среды. Дизайн флаконов, вдохновленный минимализмом, раскрывает уникальные характеристики каждого средства и исключает субъективизм. Минимум визуального шума, цветов, элементов — только лаконичность, спокойствие и чистота. 
","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""BIJU GROUP Inc."", адрес: SKV1 Center 1-#522, 48, Achasan-ro 17-gil, Seongdong-gu, Seoul, Республика Корея.<br><br>",False,False,False
